Date,open,high,low,close,volume,sma_20,sma_50,sma_200,ema_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_mid,bb_lower,bb_width,atr_14,atr_pct,adx_14,plus_di,minus_di,obv,avg_volume_20,recent_high_20,recent_low_20,recent_high_52w,recent_low_52w
2021-06-22,2332.41409281815,2347.09516992996,2298.651753778499,2306.61767578125,1945883,,,,2306.61767578125,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,
2021-06-23,2311.016941420423,2328.6158680284343,2276.930554131086,2297.586181640625,1035668,,,,2305.757533482143,,-0.7204610710468842,-0.14409221420937685,-0.5763688568375074,,,,,,,,,,-1035668.0,,,,,
2021-06-24,2306.3855656280107,2320.094247952419,2291.6581337964762,2306.5244140625,759681,,,,2305.8305697278915,,-0.5636931007943531,-0.2280123915263721,-0.335680709267981,,,,,,,,,,-275987.0,,,,,
2021-06-25,2304.532862197859,2306.3390223888828,2264.703717071449,2268.08447265625,1112942,,,,2302.235703340116,,-3.500879411769347,-0.8825857955749671,-2.61829361619438,,,,,,,,,,-1388929.0,,,,,
2021-06-28,2269.4273899760024,2283.2285593728043,2257.5712289026796,2278.782470703125,694906,,,,2300.002062136593,,-4.908796142705796,-1.687827865001133,-3.2209682777046633,,,,,,,,,,-694023.0,,,,,
2021-06-29,2273.966959156118,2313.332985943953,2264.704364617804,2308.748046875,1354397,,,,2300.8350130640606,,-3.565507776962477,-2.063363847393402,-1.5021439295690748,,,,,,,,,,660374.0,,,,,
2021-06-30,2308.7474615286023,2320.2793435775648,2281.376456379857,2289.064453125,1447245,,,,2299.714007355579,,-4.042642515745229,-2.4592195810637674,-1.5834229346814612,,,,,,,,,,-786871.0,,,,,
2021-07-01,2300.827818789725,2300.827818789725,2281.376375877251,2295.270263671875,735043,,,,2299.2907936714164,,-3.875345614861544,-2.742444787823323,-1.1329008270382213,,,,,,,,,,-51828.0,,,,,
2021-07-02,2295.270509043941,2308.8864753107655,2271.1877676254007,2303.884765625,860231,,,,2299.7283148098527,,-3.0129123245765186,-2.7965382951739626,-0.216374029402556,,,,,,,,,,808403.0,,,,,
2021-07-05,2314.721952355138,2328.0599955991747,2301.800680561692,2314.768310546875,761700,,,,2301.160695356236,,-1.434678529878056,-2.524166342114781,1.089487812236725,,,,,,,,,,1570103.0,,,,,
2021-07-06,2306.385808344919,2313.749525035621,2286.9343617685163,2290.17626953125,461782,,,,2300.1145595633798,,-2.1435792158495133,-2.448048916861728,0.3044697010122146,,,,,,,,,,1108321.0,,,,,
