Date,open,high,low,close,volume,sma_20,sma_50,sma_200,ema_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_mid,bb_lower,bb_width,atr_14,atr_pct,adx_14,plus_di,minus_di,obv,avg_volume_20,recent_high_20,recent_low_20,recent_high_52w,recent_low_52w
2021-06-22,162.2811236734534,162.39923417655115,160.9031885995469,161.4937286376953,18737552,,,,161.4937286376953,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,
2021-06-23,161.92679821514892,162.0842872100579,160.3126545520688,160.58824157714844,13059519,,,,161.4074917747861,,-0.07223258602653004,-0.014446517205306009,-0.057786068821224036,,,,,,,,,,-13059519.0,,,,,
2021-06-24,160.98191980931153,161.13939630799965,159.48587435576582,160.03704833984375,23299321,,,,161.27697335241066,,-0.17197173547876332,-0.04595156085999748,-0.12602017461876586,,,,,,,,,,-36358840.0,,,,,
2021-06-25,160.6275999261074,161.88742448390704,160.43075740787063,161.45436096191406,14411660,,,,161.29386741045863,,-0.1350931763319636,-0.0637798839543907,-0.0713132923775729,,,,,,,,,,-21947180.0,,,,,
2021-06-28,162.1236358025854,162.1236358025854,160.11578234528454,160.31263732910156,15190488,,,,161.20041692651986,,-0.19573786364833268,-0.09017147989317911,-0.10556638375515356,,,,,,,,,,-37137668.0,,,,,
2021-06-29,160.3126522860979,161.65120890517827,159.95832076857215,160.07643127441406,13839294,,,,161.09337067393835,,-0.25986352486955866,-0.12410988888845503,-0.13575363598110363,,,,,,,,,,-50976962.0,,,,,
2021-06-30,160.86381314428692,160.94254515683505,159.4858781512992,159.60398864746094,16556397,,,,160.95152476665479,,-0.3448307507700292,-0.16825406126476988,-0.17657668950525934,,,,,,,,,,-67533359.0,,,,,
2021-07-01,159.76147794208526,160.4701284984582,159.17093789133125,159.8402099609375,10583793,,,,160.84568526134836,,-0.38862695402411873,-0.21232863981663969,-0.17629831420747905,,,,,,,,,,-56949566.0,,,,,
2021-07-02,160.07643315882655,160.3913861932189,159.24967208554114,159.36778259277344,13187847,,,,160.704932626246,,-0.45619793518477536,-0.2611024988902668,-0.19509543629450854,,,,,,,,,,-70137413.0,,,,,
2021-07-05,159.8402122245221,160.7063517855465,159.60400368727977,160.35202026367188,10642939,,,,160.67132192504846,,-0.42542463972407063,-0.2939669270570276,-0.13145771266704304,,,,,,,,,,-59494474.0,,,,,
2021-07-06,160.03705796928392,160.47012148606845,159.24966295112662,159.44651794433594,11515716,,,,160.55467392688539,,-0.46870016716226814,-0.3289135750780757,-0.13978659208419242,,,,,,,,,,-71010190.0,,,,,
2021-07-07,159.44650291519116,161.57245429101948,159.28902642187114,160.4307403564453,18568033,,,,160.5428707297006,,-0.41875071370867545,-0.3468810028041957,-0.07186971090447974,,,,,,,,,,-52442157.0,,,,,
2021-07-08,160.23389064631948,161.0212856161284,158.89533417045138,159.0528106689453,21730892,,,,160.40096024772393,,-0.48476475557600907,-0.37445775335855835,-0.11030700221745071,,,,,,,,,,-74173049.0,,,,,
2021-07-09,159.0528083368162,159.3283953244746,158.18668136912962,158.54100036621094,12289809,,,,160.22382121138938,,-0.5717889463673771,-0.41392399196032215,-0.15786495440705495,,,,,1.605715045958803,0.01012807439242714,,9.632231085351041,18.38886829185966,-86462858.0,,,,,
2021-07-12,159.05281247725384,159.4858759723706,158.2260514927566,158.3441619873047,13589278,,,,160.04480604719083,34.84846260452879,-0.6491563859443659,-0.46097047075713093,-0.18818591518723493,,,,,1.581008576934174,0.009984634463889688,,9.79546975318121,17.342215145233183,-100052136.0,,,,,
2021-07-13,159.05283341048343,159.21030993149353,158.54102535919486,158.93472290039062,11247522,,,,159.93908384273365,38.60524913859138,-0.6552638354415024,-0.4998291436940052,-0.15543469174749713,,,,,1.52994710316665,0.009626260865132134,,9.399362408240927,16.64093394385634,-88804614.0,,,,,
2021-07-14,158.93472711954036,161.53312097853757,158.81661660631212,160.70635986328125,21269167,,,,160.01215774945246,48.24636731179935,-0.5112543149543569,-0.5021141779460756,-0.009140137008281313,,,,,1.6147011938137068,0.010047525158228909,,18.54513662412258,14.641219870724859,-67535447.0,,,,,
2021-07-15,160.9425514174911,164.1708510363546,159.76147136460884,162.39923095703125,29963443,,,,160.23949805493615,55.446090842287724,-0.25755623512878856,-0.4532025893826182,0.19564635425382965,,,,,1.8143210850945684,0.011171980768644245,,25.710369269024536,12.09958842687861,-37572004.0,,,,,
2021-07-16,163.54096402487883,165.07637575862591,163.1472664690106,163.6984405517578,30137464,,,,160.56892114987156,60.040550954781786,0.04778583195067654,-0.3530049051159593,0.4007907370666358,,,,,1.875951350558861,0.011459799764956997,,26.537457835695044,10.866219926418331,-7434540.0,,,,,
2021-07-19,162.83227530112438,164.95822663238195,162.47794384057883,163.58029174804688,17099088,160.41303634643555,,,160.85571834969778,59.44025676471959,0.277044403503794,-0.22699504339200863,0.5040394468958026,163.31950902301875,160.41303634643555,157.50656366985234,0.03623736253338228,1.919117882076308,0.011731962705092937,,24.087656712302145,12.354290674261698,-24533628.0,,165.07637575862591,158.18668136912962,,
2021-07-20,163.93462329869894,164.80075023294603,162.5173224104149,162.832275390625,24567907,160.47996368408204,,,161.04396187740514,55.64687378012408,0.39383492075532445,-0.10282905056254202,0.49666397131786644,163.54045885488947,160.47996368408204,157.4194685132746,0.03814177297338207,1.9451400206802243,0.01194566627539871,,22.06788197219243,11.318370720159118,-49101535.0,16845961.1,165.07637575862591,158.18668136912962,,
2021-07-22,162.98976135253906,163.9739988308965,162.08426836247955,162.98976135253906,19016769,160.60003967285155,,,161.2292761131322,56.279499114188816,0.49341229823320987,0.016419219196608353,0.4769930790366015,163.85064419587687,160.60003967285155,157.34943514982623,0.040480743711482546,1.9411821955185624,0.01190984132628968,,20.533384480606564,12.124828279939239,-30084766.0,17137478.85,165.07637575862591,158.18668136912962,,
2021-07-23,162.98975080557804,168.18652485411891,162.5960533442431,167.2416534423828,46241640,160.96026992797852,,,161.8018834778227,69.0958463947267,0.9049881048688633,0.19413299633105935,0.7108551085378039,165.29687934811247,160.96026992797852,156.62366050784456,0.05388422151720253,2.2018457179726516,0.013165653846702846,,30.475086016361036,9.925909874223937,16156874.0,17435341.35,168.18652485411891,158.18668136912962,,
2021-07-26,168.5014775725626,169.5644594687948,165.9818287967085,166.25741577148438,49084040,161.20042266845704,,,162.22621988674288,64.39038118399577,1.1386198416784623,0.38303036540054,0.7555894762779223,166.11352897050958,161.20042266845704,156.2873163664045,0.06095649404291437,2.3004732146950557,0.013836815663350526,,31.363489677589573,8.821762228904646,-32927166.0,18582457.3,169.5644594687948,158.18668136912962,,
2021-07-27,166.92674619455204,167.71414133293217,163.73781210465697,164.2889862060547,25378089,161.39924011230468,,,162.42267382191545,56.154008846219035,1.1516632047095072,0.5367569332623334,0.6149062714471738,166.47178507659595,161.39924011230468,156.3266951480134,0.06285711086076606,2.4201772156650665,0.014731220099134518,,27.682780445150865,14.409412026496579,-58305255.0,20316076.3,169.5644594687948,158.18668136912962,,
2021-07-28,164.01337676789592,165.3519458249621,163.34409223936285,164.64329528808594,15304399,161.6275833129883,,,162.63416158059835,57.21486135467966,1.177021969129953,0.6648099404358574,0.5122120286940957,166.85031862103764,161.6275833129883,156.40484800493894,0.06462678214937655,2.3907255278032213,0.01452063701482669,,26.022107944279597,14.72133159126649,-43000856.0,20825456.35,169.5644594687948,158.18668136912962,,
