Date,open,high,low,close,volume,sma_20,sma_50,sma_200,ema_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_mid,bb_lower,bb_width,atr_14,atr_pct,adx_14,plus_di,minus_di,obv,avg_volume_20,recent_high_20,recent_low_20,recent_high_52w,recent_low_52w
2021-06-22,6651.558040877476,6996.5478990829915,6641.973663296962,6963.43359375,1757310,,,,6963.43359375,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,
2021-06-23,6964.104454683928,7168.155752957693,6939.136871128617,7123.7802734375,2227399,,,,6978.70470610119,,12.7911881232194,2.55823762464388,10.23295049857552,,,,,,,,,,2227399.0,,,,,
2021-06-24,7139.210300046566,7236.204379050685,7102.119043160804,7214.591796875,1041762,,,,7001.170143317743,,29.91122982590332,8.028836064895767,21.882393761007553,,,,,,,,,,3269161.0,,,,,
2021-06-25,7226.620617533747,7346.425335994187,7226.620617533747,7331.09033203125,1216123,,,,7032.59111367141,,52.27682963590178,16.87843477909697,35.398394856804806,,,,,,,,,,4485284.0,,,,,
2021-06-28,7378.053755322322,7378.053755322322,7256.715443301425,7280.53271484375,433364,,,,7056.204599497347,,65.17090185230154,26.536928193737886,38.633973658563654,,,,,,,,,,4051920.0,,,,,
2021-06-29,7280.292736070534,7285.084924548727,7142.80466143632,7176.30224609375,480219,,,,7067.642470601766,,66.21572557623585,34.472687670237484,31.74303790599837,,,,,,,,,,3571701.0,,,,,
2021-06-30,7193.553826351076,7328.789473195873,7181.190074187404,7203.521484375,729267,,,,7080.58332905636,,68.451059746184,41.26836208542679,27.182697660757213,,,,,,,,,,4300968.0,,,,,
2021-07-01,7188.282273486046,7288.91822531485,7183.537819990694,7269.17431640625,584331,,,,7098.544375470636,,74.65958383343877,47.94660643502919,26.712977398409585,,,,,,,,,,4885299.0,,,,,
2021-07-02,7308.087471379634,7317.192629540697,7232.897846528413,7259.0634765625,434905,,,,7113.831908907956,,77.86642791616123,53.9305707312556,23.93585718490563,,,,,,,,,,4450394.0,,,,,
2021-07-05,7280.580644291314,7370.386450525757,7267.83360914653,7283.60009765625,484183,,,,7130.000307836364,,81.44888319168604,59.43423322334169,22.014649968344344,,,,,,,,,,4934577.0,,,,,
