Date,open,high,low,close,volume,sma_20,sma_50,sma_200,ema_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_mid,bb_lower,bb_width,atr_14,atr_pct,adx_14,plus_di,minus_di,obv,avg_volume_20,recent_high_20,recent_low_20,recent_high_52w,recent_low_52w
2021-06-22,525.7707042528618,526.682087473144,513.7308773547383,514.5942993164062,9114558,,,,514.5942993164062,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,
2021-06-23,516.129322055207,517.2805117548078,511.0447716331181,512.3399047851562,4767421,,,,514.3795950753348,,-0.17983774038464162,-0.03596754807692833,-0.1438701923077133,,,,,,,,,,-4767421.0,,,,,
2021-06-24,513.2512742030274,513.682985241973,505.96020745933464,507.2553405761719,6419922,,,,513.7010946468431,,-0.724293083677594,-0.17363265519706148,-0.5506604284805325,,,,,,,,,,-11187343.0,,,,,
2021-06-25,509.70169540288936,514.1147285999051,507.83096733429585,513.3472290039062,5504204,,,,513.6673931570396,,-0.6566439984760564,-0.27023492385286046,-0.3864090746231959,,,,,,,,,,-5683139.0,,,,,
2021-06-28,515.1699968750404,515.1699968750404,508.88623559637216,509.60577392578125,5265796,,,,513.2805722778721,,-0.8946231089124694,-0.3951125608647823,-0.49951054804768713,,,,,,,,,,-10948935.0,,,,,
2021-06-29,509.6536970785148,510.6130416771014,502.69841891210507,503.60980224609375,8713975,,,,512.3595465605599,,-1.5491899749114282,-0.6259280436741115,-0.9232619312373167,,,,,,,,,,-19662910.0,,,,,
2021-06-30,505.57641352128013,508.8381968343207,503.03416842806615,504.2812805175781,5760552,,,,511.5901878897998,,-1.990807458240397,-0.8989039265873686,-1.0919035316530283,,,,,,,,,,-13902358.0,,,,,
2021-07-01,507.4951459403802,509.41389480612446,500.77973369687663,501.4032897949219,6575188,,,,510.620007118859,,-2.5437001030178976,-1.2278631618734746,-1.315836941144423,,,,,,,,,,-20477546.0,,,,,
2021-07-02,504.23334016907563,511.33256152677205,498.86102254124575,503.6577453613281,13309063,,,,509.9569345705227,,-2.7680474564149335,-1.5359000207817664,-1.2321474356331672,,,,,,,,,,-7168483.0,,,,,
2021-07-05,506.53576051935,507.01543278380717,502.0268650947768,502.6504211425781,6373586,,,,509.2610761488137,,-2.992629822464835,-1.82724598111838,-1.1653838413464548,,,,,,,,,,-13542069.0,,,,,
2021-07-06,502.2187287583251,506.2480117211313,499.916289872909,504.7130126953125,10494366,,,,508.82792724848025,,-2.969943406217851,-2.0557854661382744,-0.9141579400795767,,,,,,,,,,-3047703.0,,,,,
