Date,open,high,low,close,volume,sma_20,sma_50,sma_200,ema_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_mid,bb_lower,bb_width,atr_14,atr_pct,adx_14,plus_di,minus_di,obv,avg_volume_20,recent_high_20,recent_low_20,recent_high_52w,recent_low_52w
2024-06-26,3380.2335830585553,3380.2335830585553,3348.9305232713014,3351.663330078125,1485709,,,,3351.663330078125,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,
2024-06-27,3359.888494481596,3382.320984429915,3350.96539716155,3370.456787109375,1462935,,,,3353.4531831287204,,1.4991931534900687,0.29983863069801375,1.199354522792055,,,,,,,,,,1462935.0,,,,,
2024-06-28,3370.456796367075,3409.638684191286,3356.249552694116,3393.98583984375,1005498,,,,3357.3134361491993,,4.53365133342777,1.146601171243965,3.3870501621838045,,,,,,,,,,2468433.0,,,,,
2024-07-01,3371.852473732355,3424.693449813909,3371.353973958001,3421.154052734375,1001832,,,,3363.393494871597,,9.026675137093662,2.7226159644139045,6.304059172679757,,,,,,,,,,3470265.0,,,,,
2024-07-02,3435.6604899430276,3439.6484881902047,3375.142665223735,3389.449462890625,878947,,,,3365.875015635314,,9.914841318959134,4.161061035322951,5.753780283636183,,,,,,,,,,2591318.0,,,,,
2024-07-03,3410.5360958042284,3416.6675456491894,3331.8726855761483,3350.167724609375,980605,,,,3364.379083156653,,7.3641224097341365,4.801673310205189,2.5624490995289477,,,,,,,,,,1610713.0,,,,,
2024-07-04,3354.903465289292,3359.788665691261,3320.0084812521077,3325.990478515625,741143,,,,3360.723025571793,,3.353105086940559,4.511959665552263,-1.1588545786117042,,,,,,,,,,869570.0,,,,,
2024-07-05,3322.0024508526385,3322.0024508526385,3247.227485722402,3259.54052734375,2001382,,,,3351.086597169123,,-5.128492682086744,2.5838691960244615,-7.7123618781112055,,,,,,,,,,-1131812.0,,,,,
2024-07-08,3194.386608389134,3194.386608389134,3116.7204395871063,3146.72998046875,5323920,,,,3331.624062245278,,-20.714306722697074,-2.0757659877198456,-18.63854073497723,,,,,,,,,,-6455732.0,,,,,
2024-07-09,3160.4884984373452,3212.382372463967,3155.5035008057403,3205.5029296875,2044328,,,,3319.612525811204,,-28.00091372028146,-7.260795534232169,-20.74011818604929,,,,,,,,,,-4411404.0,,,,,
2024-07-10,3208.0952397309534,3242.9403246453567,3180.927002520894,3215.323486328125,1437517,,,,3309.6802363366246,,-32.607288886996685,-12.330094204785073,-20.27719468221161,,,,,,,,,,-2973887.0,,,,,
2024-07-11,3237.2075879273298,3248.9722311090127,3220.3084945092783,3238.852783203125,1105185,,,,3302.934764609625,,-33.96769829667937,-16.657615023163935,-17.31008327351544,,,,,,,,,,-1868702.0,,,,,
2024-07-12,3256.20061701659,3259.1916157462438,3210.3885351556773,3220.1591796875,1496692,,,,3295.0513755694224,,-36.13767747876909,-20.55362751428497,-15.584049964484123,,,,,,,,,,-3365394.0,,,,,
2024-07-15,3232.023269573219,3242.6412173463914,3195.782238810125,3214.52587890625,1243810,,,,3287.3822806491203,,-37.875358353511274,-24.01797368213023,-13.857384671381045,,,,,59.78769431890198,0.018599226315528957,,14.840597205049047,32.618814802289364,-4609204.0,,,,,
